title,author_name,date,likes,comments,categories_list,type
#ElectionWatch: Partisan Debate and Electoral Violence in Brazil,@DFRLab,2018-10-26T02:36:45.309Z,50,50,Government,Blog
How to Make It On Social Media: Put Down Your Damn Phone,Kali R. Schmidt,2018-10-26T00:01:01.767Z,209,209,Social Media,Blog
Make Peace With One Thing to Get More Out of Life,John P. Weiss,2018-10-26T00:02:01.038Z,na,na,na,Blog
#SciComm: Academics as influencers,Iris Mickein,2018-09-11T14:57:28.352Z,4,4,Science Communication,Blog
War Is Memes. Just “Don’t Be a Victim like the Americans”,Fast Company,2018-10-25T00:00:00.000Z,na,na,na,Blog
"Someone Is Impersonating Me, and Twitter Doesn’t Care",Bloomberg View,2018-10-25T07:09:00.078Z,na,na,na,Blog
Facebook and Twitter need a redesign to fight junk news,Horizon,2018-10-25T10:38:52.279Z,na,na,Technology,Blog
Managing Hurt Feelings at Scale,bjt2n3904,2018-10-23T12:41:02.025Z,na,na,Social Media,Blog
The Fragility of Kevin Durant,John Whalen,2018-10-23T11:45:36.944Z,1,1,NBA,Blog
In Pursuit of Something Real,Zack Hayhurst,2018-10-25T04:20:36.054Z,na,na,na,Blog
How social media clouds our thinking,Helen Lee Bouygues,2018-10-22T20:37:39.000Z,10,10,Journalism,Blog
Conspiracy Theories About Soros Aren’t Just False. They’re Anti-Semitic,Washington Post,2018-10-24T22:53:26.109Z,na,na,na,Blog
Organic Mathematics,Jess Bachman,2018-10-22T18:45:50.519Z,5,5,Social Media,Blog
I’m really not all that worried about how many Likes my Facebook post gets.,Jon Ziegler,2018-10-24T14:23:54.682Z,na,na,na,Blog
The 48 Hour Alternative Me,Julia Le Clair,2018-10-22T16:52:24.680Z,na,na,Social Media,Blog
Trump’s Golf Game Is a Lot Like His Presidency,na,25-Oct,,,na,Blog
Why I Quit Being A Sports Fan,Gen Cruz,2018-10-29T20:31:01.606Z,na,na,na,Blog
Alex Cora’s team won the World Series. What you can learn from #Coralytics,Josh Bernoff,2018-10-29T17:39:16.760Z,11,11,Coralytics,Blog
"Congratulations Boston Red Sox, but more importantly, ha ha Dodgers.",John Markowski,2018-10-29T18:14:38.405Z,na,na,World Series,Blog
"David Price and the Boston Red Sox Won the World Series, and Did the Improbable",Raleigh McCool,2018-10-29T18:51:10.261Z,na,na,na,Blog
The NBA and Parity,Trent Brown,2018-10-29T18:46:46.627Z,na,na,na,Blog
Just Burn It,On Dit Magazine,2018-10-28T23:42:12.351Z,na,na,NFL,Blog
Want to Know if a Tennis Ump is Sexist?,Catherine Prendergast,2018-09-15T04:43:34.000Z,na,na,Tennis,Blog
Just breathe: How do you beat Rich Froning?,Brandles,2018-10-28T17:32:02.877Z,na,na,na,Blog
"Stadium finance update — more borrowing, more revenue, more Nike",Charles Richards,2018-10-27T09:06:12.007Z,31,31,Sports,Blog
How the Dodgers Can Come Back in the World Series,Raleigh McCool,2018-10-26T19:57:46.836Z,na,na,na,Blog
"If The Mets Reject Analytics in Their GM Search, Be Prepared For Another Decade of Failure",Good Fundies,2018-10-24T21:27:23.857Z,61,61,Sports,Blog
We Believed: Remembering the 2007–08 Warriors,Alex Siquig,2018-10-26T17:56:02.266Z,62,62,NBA,Blog
When a Scar Is a Choice,Guernica Magazine,2018-10-26T17:00:00.000Z,na,na,na,Blog
"Smaller, stronger, faster: undersized MLB players measure up (and Do Damage)",Seth Ulinski,2018-10-24T19:06:40.298Z,na,na,na,Blog
Maybe We’re Not a Sports Family,Dave Nelsen,2018-10-24T18:14:05.537Z,20,20,Sports,Blog
The smell of fencing,Kalle Dixelius,2018-10-26T14:16:01.256Z,na,na,na,Blog
Stop concocting unscientific excuses for ignoring brain injuries from football,Adam Finkel,2018-10-24T16:23:38.765Z,1,1,Football,Blog
The Fight Over One of the World’s Deadliest Sports,Narratively,2018-10-26T07:21:45.015Z,na,na,na,Blog
NBA Stock Market: Golden Investment,The Subscriber,2018-10-25T20:25:17.664Z,na,na,na,Blog
"David Price Changed One Pitch, and Now He’s a Postseason Star",Raleigh McCool,2018-10-25T19:22:41.950Z,na,na,na,Blog
‘Cross Tracks: The Sand People,Specialized,2018-10-23T21:37:24.275Z,36,36,Cycling,Blog
Under-the-radar 2019 free agents with something to prove in their contract year,Luke Zylstra,2018-10-23T20:53:06.526Z,na,na,NBA,Blog
Inspiring Athletes Who Paved the Way for Others,Melinda Gates,2017-09-23T23:36:53.685Z,293,293,Sports,Blog
"Meet Elizabeth Edmondson, The Youngest Paralympian At The 1964 Tokyo Games",Shotaro Honda Moore,2018-10-25T14:39:12.443Z,21,21,Sports,Blog
All Day I Dream About Shoes,John Gotty,2018-10-25T14:10:52.550Z,102,102,Sports,Blog
The Future of Micropayments: How the NBA’s Latest Initiative Affects Sports Fans and Bettors,Russell Karp,2018-10-25T13:45:37.753Z,73,73,Sports,Blog
The Great Giants Purge of 2018 is underway,Brett Herskowitz,2018-10-25T13:15:58.416Z,4,4,NFL,Blog
Trump’s Golf Game Is a Lot Like His Presidency,na,25-Oct,,,na,Blog
The Fragility of Kevin Durant,John Whalen,2018-10-23T11:45:36.944Z,1,1,NBA,Blog
Magic Count with a BigQuery,Eric Schmidt,2018-10-24T23:02:27.706Z,15,15,Sports,Blog
An Uphill Course,Andrew Boyd Hutchinson,2018-10-22T20:16:01.645Z,10,10,Olympics,Blog
How to calculate NFL passer rating using a formula in Excel or Google Sheets,Gary Zilavy,2018-10-22T16:51:29.147Z,na,na,NFL,Blog
World Series Centennial Review: 1918,John Thorn,2018-10-24T12:31:02.199Z,21,21,Baseball,Blog
Rage vs. Conciliation: A Deeper Look at Eric Reid and Malcolm Jenkins’ Dustup,Kitanya Harrison,2018-10-24T12:31:01.943Z,na,na,na,Blog
Electric and hybrid touring cars are charging in,Neil Hudson,2018-10-22T12:30:13.037Z,3,3,Motorsport,Blog
A Brief History of the Power Suit,na,11-Oct,,,na,Blog
Pop Music’s Legacy Of Androgyny Continues To Guide Us,Sean F. McGowan,2018-10-27T18:45:01.917Z,10,10,Music,Blog
The identity behind your bra size,Bethany Crystal,2018-10-28T00:32:07.173Z,88,88,Women,Blog
All Day I Dream About Shoes,John Gotty,2018-10-25T14:10:52.550Z,102,102,Sports,Blog
Fighting Fakes With Blockchain: How To Make Anti-Counterfeiting Effective For Luxury Goods,Sam Radocchia,2018-10-24T13:33:39.706Z,32,32,Luxury,Blog
Taking it slow,Sarah McColl,2018-10-22T10:59:35.563Z,5,5,Slow Fashion,Blog
Are You Ready to Try Again with Smart Glasses?,Lance Ulanoff,2018-10-23T13:01:03.174Z,na,na,na,Blog
‘A Triumph over Nature’: Perfume in the Age of Decadence,Aeon Magazine,2018-10-22T00:00:00.000Z,na,na,na,Blog
The Secret To Making Sure You’ll Be Remembered At Your Next Job Interview,Isaac Breese,2018-10-22T19:12:38.137Z,1,1,Fashion,Blog
Let’s Talk About Dress Codes and Clothes,Erik P.M. Vermeulen,2018-10-21T11:22:02.308Z,904,904,Business,Blog
What exactly does a Creative Director do?,Thaddeus Asher Han,2018-10-18T04:28:52.959Z,8,8,Fashion,Blog
Thanks! It Has Pockets!,chloe schwanz,2018-10-01T21:21:41.880Z,na,na,na,Blog
You Deserve to Be Seen: Eyewear as Self-Care,Kate Browne,2018-10-18T05:57:08.302Z,na,na,na,Blog
Eco-fashion’s Inconvenient Truth,Craftsmanship Magazine,2018-10-15T22:54:32.986Z,53,53,Craftsmanship,Blog
Kerby Jean-Raymond Is Expanding the Fashion Canon,New York Times Magazine,2018-10-15T00:00:00.000Z,na,na,na,Blog
Radio Producer Avery Trufelman turned podcaster talks Sustainable Fashion in “Articles of Interest”,Alexandra Spirer,2018-10-14T20:42:36.604Z,57,57,Podcast,Blog
Luxury on a budget: a fashion reseller’s guide to selling luxury for less,OfferUp,2018-10-13T13:01:02.735Z,53,53,Fashion,Blog
4 reasons to take the sustainable fashion challenge,North Atlantic Currents,2018-10-10T09:36:16.838Z,7,7,Fashion,Blog
The Tragic Lives of Pretty People,Jessica Wildfire,2018-10-11T20:06:19.327Z,na,na,na,Blog
A Brief History of the Power Suit,na,11-Oct,,679,na,Blog
How much does what you wear to work matter?,InVision,2018-10-09T20:34:39.077Z,112,112,Fashion,Blog
"Ode to Autumn: Or, on falling leaves and failing friendships",Anne Whiting,2018-10-07T22:31:58.627Z,na,na,na,Blog
Crown Me: Why Cutting My Natural Hair Was a Spiritual Experience,Brittany Johnson,2018-10-09T18:07:51.149Z,na,na,na,Blog
What is Slow Fashion and How It is Changing the Fashion Industry,Fashionista,2018-10-06T11:55:25.170Z,26,26,Fashion,Blog
The 4 Convolutional Neural Network Models That Can Classify Your Fashion Images,James Le,2018-10-07T00:37:14.829Z,1.1K,1.1K,Computer Vision,Blog
A lukewarm hot take on Hedi Slimane’s Celine debut,Marc Richardson,2018-10-04T15:13:41.798Z,na,na,na,Blog
About to Donate to a Thrift Store? Read this First,Katya Moorman,2018-09-30T19:52:12.914Z,na,na,na,Blog
The Great Debate: Man Purse vs Satchel vs Fanny Pack,Manscaped,2018-09-29T11:40:03.133Z,4,4,Men,Blog
My Fall Fashion Advice: “You Better Suit Up”,Alexandra Cohen,2018-09-28T10:52:10.276Z,na,na,na,Blog
Models Replaced by Drones in Saudi Fashion Show | iFashion Network,iFashion Network,2018-06-13T21:06:04.000Z,3,3,Saudi Arabia,Blog
"Lululemon, the Brand That Invented Athleisure, Plans Its Second Act",Fast Company,2018-09-25T00:00:00.000Z,na,na,na,Blog
What’s the Deal with Balenciaga’s T Shirt Shirt? | iFashion News,iFashion Network,2018-06-13T21:39:09.000Z,12,12,Fashion,Blog
T: The New York Times Style Magazine Singapore,T: The New York Times Style Magazine Singapore,2018-09-23T02:41:02.090Z,na,na,Fashion,Blog
A Beginner’s Guide To Getting Dressed: Color,Abby Bagby,2018-09-24T22:55:35.491Z,na,na,na,Blog
What ‘The Big Lebowski’ Taught Me About Style,The Financial Times,2018-09-24T18:53:56.904Z,na,na,na,Blog
"5 Strategies You Need To Run A Very Successful Podcast, With Ali Levine",Yitzi Weiner,2018-09-23T20:24:35.486Z,na,na,na,Blog
How an Unlikely Family History Website Transformed Cold Case Investigations,The New York Times,2018-10-18T19:37:36.025Z,na,na,na,Blog
Your DNA Is Out There. Do You Want Law Enforcement Using It?,Bloomberg Businessweek,2018-10-29T11:00:05.234Z,na,na,na,Blog
The Strange Life of a Murderer Turned Crime Blogger,WIRED,2018-10-26T17:03:35.246Z,na,na,na,Blog
Why Are People Murdered?,Daniel Bier,2018-10-26T14:20:06.700Z,11,11,Crime,Blog
Man Finally Freed After 20 Years for Murder He Didn’t Commit,Citizen Truth Staff,2018-10-24T14:59:33.227Z,16,16,Horace Roberts,Blog
The Fan Who Sued Taylor Swift,Zachary Snowdon Smith,2018-10-22T22:00:44.278Z,282,282,Psychology,Blog
The man who fell out of the sky,Dale Brumfield,2018-10-22T20:08:41.762Z,27,27,Culturalarchaeology,Blog
Death on the staircase,Torrin Wilkins,2018-10-21T01:35:40.954Z,62,62,The Owl Theory,Blog
10 Unbelievable Unsolved Colorado Murders — Part 1: Welcome to Killerful Colorado,Joshua Scott Hotchkin,2018-10-19T14:21:01.385Z,na,na,na,Blog
Was my minivan stolen to commit a violent crime?,Christine Wolf,2018-10-18T18:02:02.276Z,na,na,na,Blog
How an Unlikely Family History Website Transformed Cold Case Investigations,The New York Times,2018-10-18T19:37:36.025Z,na,na,na,Blog
Kidnapped for Bitcoin,Peter Keay,2018-10-15T15:17:05.442Z,20,20,Bitcoin,Blog
4 Horror Films Inspired by True Events,Niki Marinis,2018-10-10T08:27:22.776Z,na,na,na,Blog
[Cult Watch] The Peoples Temple (or The Tragic Fate of Jonestown),John Greenfield,2018-10-06T20:05:34.528Z,na,na,na,Blog
The Genius of American Vandal,Leo S,2018-10-06T03:27:29.173Z,na,na,na,Blog
"Joe Exotic: A Cautionary Tale of a Murder-for-Hire Plot Involving Tigers, Michael Jackson’s Pet Alligators, and, of Course, a Florida Man",Zaron Burnett III,2018-09-14T12:01:02.186Z,90,90,Murder,Blog
"She Protested A Thief, Then Got Hit In The Head; The Next Day She Committed Suicide","""Thea Satori"" ∆",2018-10-05T11:44:27.684Z,na,na,na,Blog
He Was an Infamous College Hacker. Then a Bitcoin Millionaire. Now He’s Charged With ‘Depraved’ Murder.,Zaron Burnett III,2018-10-04T11:01:00.991Z,628,628,Race,Blog
Biggest Heist of all time:500 Million dollar Art heist at Isbella Stewart Gardner museum,Karthick Nambi,2018-10-04T07:31:36.053Z,na,na,na,Blog
Should True Crime Be Tasteful?,Zachary Snowdon Smith,2018-10-01T23:47:13.685Z,281,281,Podcast,Blog
Elizabeth Ann Duncan,Ashley Horsfall,2018-10-01T20:13:01.001Z,na,na,na,Blog
The Wandering Woman Who Haunts Phoenix’s Downtown,Ryan Bohl,2018-09-26T20:49:11.728Z,na,na,na,Blog
"When Giving Birth Leads to Psychosis, Then to Infanticide",The Atlantic,2018-09-06T07:00:00.000Z,na,na,na,Blog
The Betty Shanks narrative,Brittany Payie,2018-09-25T08:25:08.960Z,na,na,na,Blog
Urban Ghost Stories: The Place Where Happiness Was,Jacqueline Vesey-Wells,2018-09-25T04:52:33.004Z,na,na,na,Blog
We Need to Stop Using Teens as Eyewitnesses,na,21-Sep,,,na,Blog
All The President’s Vampires,Toothpickings,2018-09-19T16:27:20.418Z,122,122,History,Blog
The deadly angel makers of Nagyrév who mass murdered their husbands and poisoned 300 people,Ash Woods,2018-09-19T16:46:23.092Z,na,na,na,Blog
"Manhunt, Murder, and Immigration?",Isaiah Croatt,2018-09-12T00:00:03.505Z,na,na,na,Blog
John Spirko Serving Life Sentence for Crime He Didn’t Commit part 1,Max Van Dyke,2018-09-09T20:52:05.418Z,10,10,Prison,Blog
Ludicrous crimes that would have gotten you hanged in 18th century England,Ash Woods,2018-09-06T17:04:55.364Z,na,na,na,Blog
"A Turbulent Mind, and a Crime That Shocked New York",New York Magazine,2018-09-06T20:21:54.556Z,na,na,na,Blog
We Were Just Kids Who Wanted To Change The World,Shannon Ashley,2018-09-05T22:11:57.396Z,na,na,na,Blog
Dejanay Stanton of Chicago is 17th Black trans woman murdered in 2018,Peoplesworld Social Media,2018-09-05T03:53:35.041Z,127,127,Transgender,Blog
Silk Road: A Cautionary Tale about Online Anonymity,na,18-Aug,,,na,Blog
Lost Boys:,C.M. Porter,2018-08-29T22:52:43.893Z,171,171,Crime,Blog
Democrats Are Killing It on Prestige TV,na,26-Oct,,,na,Blog
WWE To Hold Event in Saudi Arabia Despite Jamal Khashoggi’s Murder,Citizen Truth Staff,2018-10-27T22:00:34.892Z,na,na,Jamal Khashoggi,Blog
Democrats Are Killing It on Prestige TV,na,26-Oct,,,na,Blog
How HBO Is Changing Sex Scenes Forever,Rolling Stone,2018-10-25T05:36:05.598Z,na,na,na,Blog
"Broadcast TV Hits Record Percentage of LGBTQ Regulars, Study Finds",The Hollywood Reporter,2018-10-25T00:00:00.000Z,na,na,na,Blog
Solid Rookie Performer,David B Morris,2018-10-25T03:03:48.905Z,na,na,TV,Blog
Why Are So Many Monsters Hybrids?,Nautilus,2018-10-24T00:00:00.000Z,na,na,na,Blog
Bigger and Badder: Rise Of The Kingpin,Danny Hernandez,2018-10-24T14:58:15.942Z,na,na,na,Blog
This Melissa McCarthy Story Just Might (Maybe? Possibly?) Cheer You Up,New York Times Magazine,2018-10-24T00:08:38.515Z,na,na,na,Blog
The Postmodernism (and Nihilism) of BoJack Horseman,Megan Kirkwood,2018-10-23T20:16:22.851Z,4,4,BoJack Horseman,Blog
The Doctor Who Episode Everyone’s Talking About,Aisha Tritle,2018-10-23T07:19:26.477Z,190,190,Civil Rights,Blog
Bad Sitcom Characters: Ross Geller,Lindy,2018-10-23T00:19:08.263Z,na,na,na,Blog
My Love/Hate Relationship With Queer Subtext,Molly McKinney,2018-10-22T22:29:15.561Z,22,22,LGBTQ,Blog
5 in 5: Fantastic females who voiced some of your favorite male cartoon characters from the ‘90s-’00s,Beth Magid,2018-10-22T22:37:12.433Z,6,6,Television,Blog
When I First Saw Myself on TV She was White,Nicola Schulze,2018-10-22T22:55:41.623Z,na,na,na,Blog
Drag: The Failed Carnival,Callie,2018-10-21T00:37:00.818Z,175,175,Transgender,Blog
"‘22 July’ Will Break Your Heart, But it Should Also Make You Angry",Paris Marx,2018-10-22T14:25:09.351Z,na,na,na,Blog
Did Someone Call The Doctor?,Aisha Tritle,2018-10-19T11:51:02.814Z,20,20,Doctor Who,Blog
AT&T and Warner Bros.’ Execution of DramaFever: How Corporate Capitalism Kills Consumer Freedom,Peggy Ross,2018-10-18T21:05:21.707Z,na,na,na,Blog
Can Reality TV Ever Really Be Nice?,VANITY FAIR,2018-10-18T19:09:00.000Z,na,na,na,Blog
The Hannah Montana Hypothesis,na,17-Oct,,,na,Blog
Is Netflix Racially Personalizing Artwork for Its Titles?,Fast Company,2018-10-18T00:00:00.000Z,na,na,na,Blog
A Truly Polished Turd,Aranyo Aarjan,2018-10-18T12:39:09.534Z,na,na,na,Blog
Getting Your Friends Into Survivor,Ianic Roy Richard,2018-10-15T16:49:30.232Z,15,15,Television,Blog
"Study: Immigrant TV Characters Are More Criminalized, Less Educated Than Reality",The Hollywood Reporter,2018-10-17T13:36:35.248Z,na,na,na,Blog
The Paradox of Jughead’s Hat,na,18-Oct,,,na,Blog
2018 Cologne Film Festival,Scott Myers,2018-10-16T11:21:01.779Z,66,66,Screenwriting,Blog
On the Origin of Celebrity,na,14-Oct,,,na,Blog
Nicole Maines Is TV’s First Transgender Superhero on ‘Supergirl’,Citizen Truth Staff,2018-10-15T19:54:49.245Z,50,50,Activism,Blog
I Promise You Can Handle The Haunting Of Hill House,Shani Silver,2018-10-15T16:22:07.400Z,na,na,na,Blog
Beyond “Canon Gay”: Introducing Queerness Quadrants,Elizabeth Simins,2018-10-11T23:48:35.703Z,na,na,na,Blog
How Does Amazon’s ‘Jack Ryan’ Compare to Real Life at the CIA?,PCMag,2018-10-15T14:16:30.084Z,na,na,na,Blog
What This Is Us Gets Right About Mental Health,Brianna Soloski,2018-10-13T17:40:29.325Z,na,na,na,Blog
Anthony Bourdain and the World of Yesterday,Jay Rodriguez,2018-10-13T16:30:51.836Z,78,78,Food,Blog
Do I Have To Be Woke… Like All the Time?,Christopher Daniels (Notorious DCI),2018-10-13T03:26:48.264Z,487,487,Comedy,Blog
A Love Letter to Dr Who,Nick Irving,2018-10-13T03:30:20.292Z,1,1,Television,Blog
6 Ways You Can Get More Out of Microsoft Word,na,13-Sep,,,na,Blog
"Writing, Music, and Mental Health",Jordan Hall,2018-10-29T20:32:06.000Z,11,11,Music,Blog
On ‘The Waste Land’ by T.S. Eliot,Christopher P Jones,2018-10-29T10:37:40.337Z,na,na,na,Blog
Experience-based Tips for Freelance Writers,On Aging,2018-10-29T18:44:36.659Z,5,5,Writing,Blog
What Unreliable Authors Tell Us About Toxicity and Masculinity,Sean Norton,2018-10-22T02:14:56.858Z,433,433,Writing,Blog
Using Music as a Writing Prompt,Jeremy Howell,2018-10-28T15:39:35.871Z,114,114,Music,Blog
10 rules for better fiction writing,Callum Sharp,2018-10-28T20:21:03.388Z,na,na,na,Blog
The True Purpose Of Writing,Harry J. Stead,2018-10-27T15:16:52.969Z,1.2K,1.2K,Writing,Blog
Why We Never Want Our Readers to Remember Our Writing,August Birch,2018-10-28T15:49:23.871Z,na,na,na,Blog
When Words Fail Us,Rosie Leizrowice,2018-10-28T01:01:26.892Z,200,200,Writing,Blog
"Doing, Not Doing, and Trying",(((Greg Camp))),2018-10-27T22:15:56.333Z,na,na,na,Blog
Why I Hated Reading in High School,Liz Kelso,2018-10-27T21:28:57.634Z,na,na,na,Blog
Writers: Why Chapter Length Matters More than You Think,August Birch,2018-10-27T14:13:15.738Z,na,na,na,Blog
5 Viable Alternatives to Being a Fabulously Wealthy Novelist,Steve Chatterton,2018-10-27T12:51:01.531Z,82,82,Writing,Blog
6 Ways You Can Get More Out of Microsoft Word,na,13-Sep,,,na,Blog
Edgar Allan Poe and The Creation of Genre Fiction,Spencer Baum,2018-10-26T19:37:46.954Z,26,26,Edgar Allan Poe,Blog
For The Love Of The Game — Don’t Let Money Ruin Your Passion For Writing,Brian Kurian,2018-10-26T16:21:01.648Z,na,na,na,Blog
Lunch at Doublespeak,Erica Rex,2018-10-26T08:03:09.960Z,21,21,Essay,Blog
Horror Writing Exercises for Halloween,Kathy Tsoukalas,2018-10-26T04:53:39.290Z,na,na,na,Blog
How To Conquer a Creative Block,Lindy,2018-10-26T00:57:23.752Z,na,na,na,Blog
Letter From My Half-Written Novel,Kyrie Gray,2018-10-25T13:09:44.506Z,na,na,na,Blog
The Creative Need to Craft Your Writer’s Manifesto,August Birch,2018-10-25T19:25:31.447Z,na,na,na,Blog
Now Not: A Reluctant Eulogy for Donald Hall,Joel Barker,2018-07-21T16:24:29.059Z,na,na,na,Blog
Where Is The Meaning of Art?,Paul de Font-Reaulx,2018-05-13T10:44:05.138Z,1.4K,1.4K,Philosophy,Blog
In defense of puns.,Oliver “Shiny” Blakemore,2017-07-25T13:19:07.650Z,na,na,na,Blog
Three Ways to Tell Your Story,Jim LaBate,2018-10-25T18:06:11.370Z,8,8,Storytelling,Blog
Writing — Evermore,John Tuttle,2018-09-05T12:52:19.272Z,158,158,Poetry,Blog
How to Write For Yourself When You Write For a Living,Hannah Whiteoak,2018-02-09T11:16:01.300Z,na,na,na,Blog
6 Harsh Truths You’ll Learn to Face While Writing Your First Novel,Erica Ciko Campbell,2018-10-25T16:51:38.000Z,na,na,na,Blog
How To Jumpstart Your Writing,Jack Heimbigner,2018-10-25T15:51:01.812Z,na,na,na,Blog
LOSER — For All Fathers,Kern Carter,2018-10-25T15:31:03.681Z,na,na,na,Blog
Using an Actor’s Method for Character Building to Aid Your Writing,Aisha Tritle,2018-10-25T14:46:02.089Z,na,na,na,Blog
Reader Question: May I deliver my scripts personally to a literary management company?,Scott Myers,2018-10-25T11:21:01.482Z,40,40,Screenwriting,Blog
Hard Work Isn’t Enough,J. C. McBride,2018-10-25T13:34:24.038Z,na,na,na,Blog
Writing 101: How to Break Your Fear of Judgement,Will Franks,2018-10-25T14:02:12.495Z,na,na,na,Blog
Where Are the Essays: On Clapback as Nigerian Literary Criticism,IfeOluwa Nihinlola,2018-10-23T13:52:13.175Z,275,275,Nigerian Literature,Blog
Zero-Tolerance Policies Won’t End Hate,na,29-Oct,,,na,Blog
Top 10 Middle East Startups to Watch in 2019,Alex Mitchell,2018-10-29T23:32:49.342Z,1,1,Middle East,Blog
Is United Natural Foods Making Money?,Market Mad House,2018-10-29T23:09:01.236Z,na,na,Investing,Blog
"I’m a Content Creator, Here’s Why I Wouldn’t Bet On Netflix",Paul Nyhart,2018-10-29T23:47:57.382Z,na,na,na,Blog
Is there a consumer brand that is sold in every country in the world?,Ollie Haas,2018-10-28T09:03:19.356Z,50,50,Marketing,Blog
250 Organizations Are Joining Forces to End Plastic Waste,Fast Company,2018-10-29T00:00:00.000Z,na,na,na,Blog
Restaurants failing to comply with new sexual harassment poster rule,Sofia Quaglia,2018-10-27T20:17:52.284Z,6,6,Minimum Wage,Blog
Cloud Wars Forcing Irrational Open Source Takeovers,Michael K. Spencer,2018-10-29T17:19:57.364Z,82,82,Cloud Computing,Blog
Forgotten Culture: A Look Inside One Of America’s Dead Malls,Maddy Heller,2018-10-27T20:40:13.620Z,6,6,Shopping,Blog
Big Tech’s Unhealthy Obsession with Hyper-Targeted Ads,The Financial Times,2018-10-29T19:03:39.457Z,na,na,na,Blog
We All Have a Role in Creating a More Diverse and Equitable Economy,B the Change,2018-10-29T14:12:34.727Z,na,na,Diversity,Blog
Every Company Needs An Innovation Thesis,Tendayi Viki,2018-10-29T08:38:38.573Z,8,8,Innovation,Blog
ExxonMobil says it’s been making fuel from algae. Here‘s my perspective on that.,Toh Hui Ran,2018-10-29T03:32:57.465Z,16,16,Climate Change,Blog
Navigate on Autopilot,David Silver,2018-10-29T03:48:34.220Z,76,76,Self Driving Cars,Blog
Just Burn It,On Dit Magazine,2018-10-28T23:42:12.351Z,na,na,NFL,Blog
Zero-Tolerance Policies Won’t End Hate,na,29-Oct,,,na,Blog
The Amazon Empire And What Better Might Look Like,Rohan Rajiv,2018-10-28T20:55:35.293Z,35,35,Retail,Blog
IBM will acquire Red Hat for $34 Billion,Michael K. Spencer,2018-10-28T19:46:05.686Z,na,na,na,Blog
Volkswagen just doesn’t get it,Enrique Dans,2018-10-28T16:34:19.265Z,209,209,Tesla,Blog
What I Learned From Making Hot Sauce at Scale,Jenny Gao,2018-10-25T17:42:46.006Z,na,na,na,Blog
Pokemon Go’s second act may be even better than its first: product lessons learned from the hit game,Eric Feng,2018-10-28T01:05:10.746Z,216,216,Pokemon,Blog
"Apple, Inc: Slice the Fruit, Find the Cyanide",Exiled Consensus,2018-10-27T23:27:30.204Z,336,336,Technology,Blog
"Most Likely Companies to Acquire Snapchat — Amazon, Tencent, ByteDance and Netflix",Michael K. Spencer,2018-10-27T23:00:13.647Z,na,na,na,Blog
The Cult Psychology Behind MLMs,Lindy,2018-10-28T16:04:54.566Z,na,na,na,Blog
"Stadium finance update — more borrowing, more revenue, more Nike",Charles Richards,2018-10-27T09:06:12.007Z,31,31,Sports,Blog
How to Save the American Mall — With Theatre,David Blixt,2018-10-27T19:13:04.009Z,na,na,na,Blog
Hasbro and Mattel Face Fresh Challenges Without Toys’R’Us,Theron Mohamed,2018-10-27T17:50:37.956Z,5,5,Retail,Blog
Facebook Is the New Climate Change,na,27-Oct,,,na,Blog
Reflection Point: Assumptions and Failures,Kari Meric,2018-10-25T04:28:06.866Z,2,2,Retail,Blog
Digital Transformation And Effective Use of Data Should Be A Boardroom Discussion. Here’s Why,John Dillon,2018-10-02T17:40:26.822Z,25,25,Big Data,Blog
The Supreme Court’s Potentially Devastating Blow to Small Businesses,Erica Graham,2018-10-25T19:25:51.442Z,na,na,na,Blog
Why Apple Will Never Buy Tesla: Autonomous Vehicles 101,Beth Kindig,2018-10-26T15:31:02.717Z,2,2,Self Driving Cars,Blog
Philip Morris: How Virginia Slims Targeted Women to Sell Cigarettes,Maggie Polk,2018-10-24T17:51:49.545Z,79,79,Feminism,Blog
Netflix’s Firing Culture Works for Netflix,Bloomberg View,2018-10-26T09:30:35.321Z,na,na,na,Blog
CFO Series: Theranos’ Red Flags,Teampay,2018-10-10T20:20:48.000Z,9,9,Startup,Blog
Think Paris 2018: when AI reinvents business and management,Timothee Barriere,2018-10-26T10:04:45.488Z,2,2,Artificial Intelligence,Blog
Why Are Sobriety Apps so Ugly?,na,23-Oct,,,na,Blog
a,Janina Aritao,2018-10-29T23:51:02.152Z,na,na,Typography,Blog
User flow is the new wireframe,Alexander Handley,2018-10-23T01:04:00.751Z,4.2K,4.2K,UX,Blog
The Thing I Most Crave on Social Media Is an Ending,New York Magazine,2018-10-29T18:32:28.767Z,na,na,na,Blog
Iterating on a 3D Model,Karen McClellan,2018-10-29T14:52:40.697Z,5,5,3D Printing,Blog
UX for a better public transport,Elena MarcosT,2018-10-28T19:28:23.280Z,310,310,UX,Blog
Central King Field,Max Hailperin,2018-10-28T22:38:51.528Z,1,1,Walking,Blog
Embrace Criticism To Take Design Thinking To The Next Level,Dennis Hambeukers,2018-10-28T15:48:41.333Z,52,52,Design Thinking,Blog
DNA of a Designer,Anish Joshi,2018-10-28T14:48:34.098Z,34,34,Design Thinking,Blog
Innovation and the Test of Time,Jorge Arango,2018-10-28T14:43:54.875Z,8,8,Apple Watch,Blog
Toggle(Patience),Maybe Later Games,2018-10-28T03:31:10.826Z,na,na,UX Design,Blog
The Tried and True Laws of UX [with Infographic],Miklos Philips,2018-10-27T12:23:14.512Z,,,,Blog
